Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,061055,1867,01,72.2,Y
IDCJAC0001,061055,1867,02,229.2,Y
IDCJAC0001,061055,1867,03,39.9,Y
IDCJAC0001,061055,1867,04,347.3,Y
IDCJAC0001,061055,1867,05,106.1,Y
IDCJAC0001,061055,1867,06,209.3,Y
IDCJAC0001,061055,1867,07,49.4,Y
IDCJAC0001,061055,1867,08,66.8,Y
IDCJAC0001,061055,1867,09,61.7,Y
IDCJAC0001,061055,1867,10,11.2,Y
IDCJAC0001,061055,1867,11,11.9,Y
IDCJAC0001,061055,1867,12,11.5,Y
IDCJAC0001,061055,1868,01,116.5,Y
IDCJAC0001,061055,1868,02,268.5,Y
IDCJAC0001,061055,1868,03,21.3,Y
IDCJAC0001,061055,1868,04,36.8,Y
IDCJAC0001,061055,1868,05,238.1,Y
IDCJAC0001,061055,1868,06,164.7,Y
IDCJAC0001,061055,1868,07,146.6,Y
IDCJAC0001,061055,1868,08,85.1,Y
IDCJAC0001,061055,1868,09,54.9,Y
IDCJAC0001,061055,1868,10,17.6,Y
IDCJAC0001,061055,1868,11,63.3,Y
IDCJAC0001,061055,1868,12,96.8,Y
IDCJAC0001,061055,1869,01,92.2,Y
IDCJAC0001,061055,1869,02,68.8,Y
IDCJAC0001,061055,1869,03,67.9,Y
IDCJAC0001,061055,1869,04,143.9,Y
IDCJAC0001,061055,1869,05,160.7,Y
IDCJAC0001,061055,1869,06,10.3,Y
IDCJAC0001,061055,1869,07,25.2,Y
IDCJAC0001,061055,1869,08,1.5,Y
IDCJAC0001,061055,1869,09,32.9,Y
IDCJAC0001,061055,1869,10,171.6,Y
IDCJAC0001,061055,1869,11,173.8,Y
IDCJAC0001,061055,1869,12,30.5,Y
IDCJAC0001,061055,1870,01,77.1,Y
IDCJAC0001,061055,1870,02,79.4,Y
IDCJAC0001,061055,1870,03,524.9,Y
IDCJAC0001,061055,1870,04,171.3,Y
IDCJAC0001,061055,1870,05,284.0,Y
IDCJAC0001,061055,1870,06,5.9,Y
IDCJAC0001,061055,1870,07,46.1,Y
IDCJAC0001,061055,1870,08,68.7,Y
IDCJAC0001,061055,1870,09,44.9,Y
IDCJAC0001,061055,1870,10,71.7,Y
IDCJAC0001,061055,1870,11,195.7,Y
IDCJAC0001,061055,1870,12,273.6,Y
IDCJAC0001,061055,1871,01,175.6,Y
IDCJAC0001,061055,1871,02,67.9,Y
IDCJAC0001,061055,1871,03,544.4,Y
IDCJAC0001,061055,1871,04,293.3,Y
IDCJAC0001,061055,1871,05,163.6,Y
IDCJAC0001,061055,1871,06,68.4,Y
IDCJAC0001,061055,1871,07,14.3,Y
IDCJAC0001,061055,1871,08,19.0,Y
IDCJAC0001,061055,1871,09,22.6,Y
IDCJAC0001,061055,1871,10,146.3,Y
IDCJAC0001,061055,1871,11,41.3,Y
IDCJAC0001,061055,1871,12,34.9,Y
IDCJAC0001,061055,1872,01,36.2,Y
IDCJAC0001,061055,1872,02,104.5,Y
IDCJAC0001,061055,1872,03,180.9,Y
IDCJAC0001,061055,1872,04,93.8,Y
IDCJAC0001,061055,1872,05,18.9,Y
IDCJAC0001,061055,1872,06,20.1,Y
IDCJAC0001,061055,1872,07,23.6,Y
IDCJAC0001,061055,1872,08,171.2,Y
IDCJAC0001,061055,1872,09,35.8,Y
IDCJAC0001,061055,1872,10,107.9,Y
IDCJAC0001,061055,1872,11,65.1,Y
IDCJAC0001,061055,1872,12,103.7,Y
IDCJAC0001,061055,1873,01,102.7,Y
IDCJAC0001,061055,1873,02,203.1,Y
IDCJAC0001,061055,1873,03,72.5,Y
IDCJAC0001,061055,1873,04,192.3,Y
IDCJAC0001,061055,1873,05,59.1,Y
IDCJAC0001,061055,1873,06,201.8,Y
IDCJAC0001,061055,1873,07,172.1,Y
IDCJAC0001,061055,1873,08,76.9,Y
IDCJAC0001,061055,1873,09,41.2,Y
IDCJAC0001,061055,1873,10,88.0,Y
IDCJAC0001,061055,1873,11,148.3,Y
IDCJAC0001,061055,1873,12,105.3,Y
IDCJAC0001,061055,1874,01,176.4,Y
IDCJAC0001,061055,1874,02,194.5,Y
IDCJAC0001,061055,1874,03,160.3,Y
IDCJAC0001,061055,1874,04,169.3,Y
IDCJAC0001,061055,1874,05,142.7,Y
IDCJAC0001,061055,1874,06,190.7,Y
IDCJAC0001,061055,1874,07,135.5,Y
IDCJAC0001,061055,1874,08,133.3,Y
IDCJAC0001,061055,1874,09,93.6,Y
IDCJAC0001,061055,1874,10,84.4,Y
IDCJAC0001,061055,1874,11,113.3,Y
IDCJAC0001,061055,1874,12,4.6,Y
IDCJAC0001,061055,1875,01,34.8,Y
IDCJAC0001,061055,1875,02,195.8,Y
IDCJAC0001,061055,1875,03,237.4,Y
IDCJAC0001,061055,1875,04,31.4,Y
IDCJAC0001,061055,1875,05,202.8,Y
IDCJAC0001,061055,1875,06,182.6,Y
IDCJAC0001,061055,1875,07,92.3,Y
IDCJAC0001,061055,1875,08,10.6,Y
IDCJAC0001,061055,1875,09,85.4,Y
IDCJAC0001,061055,1875,10,41.0,Y
IDCJAC0001,061055,1875,11,94.5,Y
IDCJAC0001,061055,1875,12,52.7,Y
IDCJAC0001,061055,1876,01,25.7,Y
IDCJAC0001,061055,1876,02,14.8,Y
IDCJAC0001,061055,1876,03,94.8,Y
IDCJAC0001,061055,1876,04,88.5,Y
IDCJAC0001,061055,1876,05,154.5,Y
IDCJAC0001,061055,1876,06,75.5,Y
IDCJAC0001,061055,1876,07,208.0,Y
IDCJAC0001,061055,1876,08,23.4,Y
IDCJAC0001,061055,1876,09,76.7,Y
IDCJAC0001,061055,1876,10,114.9,Y
IDCJAC0001,061055,1876,11,115.3,Y
IDCJAC0001,061055,1876,12,27.5,Y
IDCJAC0001,061055,1877,01,56.7,Y
IDCJAC0001,061055,1877,02,5.9,Y
IDCJAC0001,061055,1877,03,41.7,Y
IDCJAC0001,061055,1877,04,72.6,Y
IDCJAC0001,061055,1877,05,240.5,Y
IDCJAC0001,061055,1877,06,8.9,Y
IDCJAC0001,061055,1877,07,267.0,Y
IDCJAC0001,061055,1877,08,59.8,Y
IDCJAC0001,061055,1877,09,66.1,Y
IDCJAC0001,061055,1877,10,122.6,Y
IDCJAC0001,061055,1877,11,25.3,Y
IDCJAC0001,061055,1877,12,147.2,Y
IDCJAC0001,061055,1878,01,76.9,Y
IDCJAC0001,061055,1878,02,218.3,Y
IDCJAC0001,061055,1878,03,52.6,Y
IDCJAC0001,061055,1878,04,37.0,Y
IDCJAC0001,061055,1878,05,40.1,Y
IDCJAC0001,061055,1878,06,150.3,Y
IDCJAC0001,061055,1878,07,44.2,Y
IDCJAC0001,061055,1878,08,74.2,Y
IDCJAC0001,061055,1878,09,94.8,Y
IDCJAC0001,061055,1878,10,21.7,Y
