Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,061055,1867,72.2,229.2,39.9,347.3,106.1,209.3,49.4,66.8,61.7,11.2,11.9,11.5,1216.5
IDCJAC0001,061055,1868,116.5,268.5,21.3,36.8,238.1,164.7,146.6,85.1,54.9,17.6,63.3,96.8,1310.2
IDCJAC0001,061055,1869,92.2,68.8,67.9,143.9,160.7,10.3,25.2,1.5,32.9,171.6,173.8,30.5,979.3
IDCJAC0001,061055,1870,77.1,79.4,524.9,171.3,284.0,5.9,46.1,68.7,44.9,71.7,195.7,273.6,1843.3
IDCJAC0001,061055,1871,175.6,67.9,544.4,293.3,163.6,68.4,14.3,19.0,22.6,146.3,41.3,34.9,1591.6
IDCJAC0001,061055,1872,36.2,104.5,180.9,93.8,18.9,20.1,23.6,171.2,35.8,107.9,65.1,103.7,961.7
IDCJAC0001,061055,1873,102.7,203.1,72.5,192.3,59.1,201.8,172.1,76.9,41.2,88.0,148.3,105.3,1463.3
IDCJAC0001,061055,1874,176.4,194.5,160.3,169.3,142.7,190.7,135.5,133.3,93.6,84.4,113.3,4.6,1598.6
IDCJAC0001,061055,1875,34.8,195.8,237.4,31.4,202.8,182.6,92.3,10.6,85.4,41.0,94.5,52.7,1261.3
IDCJAC0001,061055,1876,25.7,14.8,94.8,88.5,154.5,75.5,208.0,23.4,76.7,114.9,115.3,27.5,1019.6
IDCJAC0001,061055,1877,56.7,5.9,41.7,72.6,240.5,8.9,267.0,59.8,66.1,122.6,25.3,147.2,1114.3
IDCJAC0001,061055,1878,76.9,218.3,52.6,37.0,40.1,150.3,44.2,74.2,94.8,21.7,79.5,113.6,1003.2
IDCJAC0001,061055,1879,57.9,109.5,48.2,86.5,296.5,109.1,53.2,339.1,283.1,66.8,36.2,49.4,1535.5
IDCJAC0001,061055,1880,48.8,87.8,115.6,48.5,2.4,35.7,42.8,9.1,229.7,59.8,68.2,37.1,785.5
IDCJAC0001,061055,1881,113.3,174.7,14.9,83.6,147.9,64.4,202.0,113.6,134.3,91.7,66.3,66.3,1273.0
IDCJAC0001,061055,1882,28.0,21.1,52.9,24.2,65.9,60.6,131.4,64.3,15.0,168.9,56.3,39.3,727.9
IDCJAC0001,061055,1883,77.8,113.3,26.4,98.2,183.8,24.9,238.4,108.4,170.2,39.8,50.0,65.6,1196.8
IDCJAC0001,061055,1884,40.0,7.1,23.9,226.5,173.6,75.8,247.5,15.0,57.0,94.7,100.2,11.1,1072.4
IDCJAC0001,061055,1885,82.2,32.6,72.2,119.6,21.9,270.9,197.9,20.9,40.1,51.9,8.9,114.1,1033.2
IDCJAC0001,061055,1886,31.4,14.7,157.1,128.1,82.4,67.6,123.4,45.7,82.0,66.7,106.4,67.7,973.2
IDCJAC0001,061055,1887,240.1,103.9,92.8,237.2,229.5,67.2,51.5,202.8,46.4,15.6,143.5,160.9,1591.4
IDCJAC0001,061055,1888,20.1,81.9,82.2,36.9,15.8,56.9,47.7,43.7,125.4,83.5,11.4,112.6,718.1
IDCJAC0001,061055,1889,55.4,89.5,62.9,63.2,343.2,39.7,233.4,99.0,79.3,69.9,67.3,15.4,1218.2
IDCJAC0001,061055,1890,121.0,284.4,377.1,217.6,305.8,68.0,159.9,74.7,36.0,42.8,89.3,142.8,1919.4
IDCJAC0001,061055,1891,102.6,130.3,161.9,48.5,104.7,264.4,117.2,60.3,178.7,39.0,176.1,52.9,1436.6
IDCJAC0001,061055,1892,156.0,181.1,290.2,152.0,60.3,30.5,118.9,131.7,210.8,107.3,65.1,323.8,1827.7
IDCJAC0001,061055,1893,151.7,154.2,418.3,110.1,53.4,275.5,192.2,63.4,57.3,142.4,81.5,48.7,1748.7
IDCJAC0001,061055,1894,49.6,113.2,340.8,37.5,29.2,42.5,55.7,50.4,186.3,76.6,34.2,151.2,1167.2
IDCJAC0001,061055,1895,404.0,220.0,26.4,45.3,45.9,52.2,9.2,18.5,78.5,5.5,92.1,143.4,1141.0
IDCJAC0001,061055,1896,48.1,107.9,49.6,14.6,187.8,125.1,97.5,93.5,23.6,77.5,70.3,35.6,931.1
IDCJAC0001,061055,1897,42.3,43.9,80.5,76.0,57.5,216.6,90.4,122.2,31.0,69.8,2.4,148.9,981.5
IDCJAC0001,061055,1898,202.6,102.0,74.8,18.2,342.2,76.1,95.1,57.8,171.2,44.6,7.5,44.6,1236.7
IDCJAC0001,061055,1899,54.3,25.0,33.6,133.1,69.6,122.5,134.9,545.3,71.0,131.1,41.6,58.9,1420.9
IDCJAC0001,061055,1900,32.4,31.8,67.3,78.6,193.9,245.5,207.7,22.1,94.1,17.9,123.6,95.8,1210.7
IDCJAC0001,061055,1901,54.5,19.6,86.8,241.0,101.0,23.6,88.2,66.0,31.0,107.0,37.4,20.0,876.1
IDCJAC0001,061055,1902,36.4,9.3,84.1,168.8,38.9,17.9,198.9,139.0,17.6,223.6,63.2,29.6,1027.3
